Aluminium,,Brass,,Brass,
Temp (°C),Reading,Temp (°C),Reading,Temp (°C),Reading
73.0,5.63,74.7,5.95,75.0,5.76
71.0,5.57,72.9,5.77,73.1,5.72
69.0,5.52,71.1,5.72,70.8,5.68
66.8,5.47,69.1,5.68,68.9,5.65
65.0,5.44,67.1,5.64,67.0,5.62
63.1,5.40,65.1,5.61,65.1,5.60
62.0,5.38,62.9,5.58,63.9,5.58
61.1,5.36,60.9,5.55,60.9,5.55
59.0,5.33,58.9,5.52,59.0,5.52
57.1,5.30,57.1,5.49,57.1,5.49
55.0,5.27,55.0,5.47,55.1,5.47
53.1,5.25,53.0,5.44,53.1,5.44
51.1,5.23,51.1,5.42,51.0,5.41
48.9,5.20,49.0,5.40,49.1,5.39
47.0,5.18,47.1,5.37,47.1,5.37
45.0,5.15,45.1,5.34,45.1,5.35
43.0,5.13,43.1,5.32,43.1,5.33
41.2,5.10,41.1,5.30,41.1,5.31
39.0,5.09,39.1,5.28,39.1,5.29
36.9,5.07,37.1,5.26,37.1,5.27
35.0,5.05,35.0,5.24,35.0,5.25
32.9,5.03,33.0,5.22,33.0,5.23
31.0,5.01,31.0,5.20,31.0,5.21
29.0,5.00,29.0,5.19,29.0,5.19
28.0,4.99,28.0,5.18,,
26.1,4.98,27.0,5.17,,
,,26.0,5.16,,
