Relative Angle,Clockwise,Anticlockwise
0,52.1,66.0
5,43.4,50.7
10,31.6,36.6
15,23.2,23.9
20,15.8,17.5
25,9.1,11.8
30,5.8,7.5
35,2.2,3.0
40,0.5,0.6
45,0.3,0.3
50,1.6,1.8
55,4.3,5.1
60,9.1,12.3
65,15.8,19.5
70,19.6,25.3
75,25.2,28.5
80,30.6,40.8
85,45.3,54.0
90,54.4,66.3
95,63.4,76.7
100,70.0,78.8
105,77.8,83.5
110,80.3,90.7
115,84.0,95.1
120,92.1,98.5
125,94.6,107.2
130,100.5,105.3
135,98.8,105.7
140,91.1,104.4
145,95.2,106.3
150,91.3,105.3
155,86.9,102.9
160,78.5,93.3
165,72.9,83.4
170,68.2,77.6
175,61.3,63.7
180,52.1,55.7
185,43.0,45.0
190,32.6,31.6
195,21.5,22.5
200,16.5,17.4
205,9.2,9.9
210,5.6,5.4
215,1.8,2.0
220,0.4,0.4
225,0.4,0.4
230,2.1,2.1
235,5.2,6.1
240,9.5,10.2
245,14.5,20.0
250,22.6,26.9
255,29.5,34.4
260,39.6,44.3
265,48.4,57.0
270,56.1,63.9
275,66.8,72.0
280,73.6,80.8
285,80.1,87.8
290,88.2,94.8
295,98.4,104.5
300,97.3,101.2
305,105.0,112.3
310,109.5,114.0
315,100.2,107.3
320,107.5,105.6
325,97.9,106.4
330,102.2,102.0
335,90.7,95.8
340,87.5,90.7
345,78.5,86.0
350,67.7,74.7
355,61.2,63.6
360,56.9,62.5
