Time in minutes,"pH 5.5, Ori","pH 7.0, Ori","pH 8.5, Ori","pH 5.5, 1:5 dilution","pH 7.0, 1:5 dilution","pH 8.5, 1:5 dilution","pH 5.5, 1:10 dilution","pH 7.0, 1:10 dilution","pH 8.5, 1:10 dilution"
0,0.03,0.03,0.06,0.07,0.06,0.06,0.07,0.07,0.06
30,0.03,0.02,0.04,0.03,0.04,0.03,0.01,0.01,0.02
60,0.03,0.03,0.04,0.05,0.05,0.04,0.05,0.04,0.04
90,0.07,0.09,0.08,0.07,0.08,0.06,0.07,0.06,0.01
120,0.14,0.17,0.16,0.12,0.13,0.11,0.13,0.11,0.11
150,0.29,0.37,0.29,0.21,0.25,0.2,0.19,0.18,0.18
180,0.51,0.64,0.55,0.29,0.34,0.31,0.25,0.23,0.24
210,0.74,0.87,0.82,0.39,0.43,0.41,0.34,0.3,0.32
240,0.86,1.04,1,0.45,0.5,0.48,0.44,0.39,0.41
270,0.96,1.18,1.13,0.62,0.7,0.67,0.53,0.48,0.5
300,1.1,1.26,1.23,0.76,0.8,0.79,0.63,0.57,0.59
330,1.16,1.34,1.29,0.85,0.88,0.87,0.69,0.63,0.66
360,1.28,1.42,1.35,0.95,0.97,0.98,0.75,0.69,0.71
390,1.37,1.47,1.42,1.01,1.03,1.05,0.79,0.73,0.76
420,1.43,1.53,1.47,1.07,1.08,1.09,0.81,0.74,0.77
450,1.47,1.56,1.52,1.11,1.11,1.12,0.81,0.74,0.77
480,1.54,1.61,1.55,1.13,1.13,1.12,0.81,0.74,0.77
510,1.57,1.62,1.57,1.14,1.13,1.12,0.81,0.75,0.77
540,1.6,1.65,1.63,1.14,1.13,1.12,0.81,0.74,0.77
570,1.65,1.67,1.63,1.14,1.13,1.12,0.8,0.73,0.76
600,1.63,1.7,1.66,1.14,1.13,1.12,0.79,0.75,0.74
630,1.68,1.7,1.67,1.13,1.13,1.12,0.8,0.74,0.76
660,1.71,1.71,1.7,1.13,1.13,1.11,0.8,0.75,0.77
690,1.71,1.74,1.74,1.13,1.12,1.11,0.78,0.72,0.74
720,1.73,1.76,1.76,1.13,1.13,1.11,0.8,0.74,0.76
